text,label,language
"Velmi dobrý poměr cena (1200)/výkon, lehký, praktický, dobrý ""kauf"". Snad šňůrka kolem krku mohla být o něco delší, ale to je opravdu maličkost.",1,cs
plne spokojena jak jinak se da byt jen spokojena kdyz ma dite kvalitni leny jsou jedine co vydrzi celou noc bez vymeny a neprocureji se durch,2,cs
"S tímto krmivem jsem velice spokojená. Našim mazlíkům chutná a oceňuji velikost granulek. Jelikož náš nejmenší psík váží v dospělosti 1kg a 7dkg je pro nás velikost granulek velice důležitá. Dobře se jim papá i když je papají za sucha. Granulky jsou velice droboučké a tím pádem se jim dobře koušou. Psíci mini vzrůstu dost často neradi koušou velké kusy a v některých případech je ani nemohou rozkousat pokud to jsou takto malý psíci jako ta naše. Určitě to ocení mnoho majitelů. Toto krmivo je pro nás velice důležité, mají po něm pěknou stolici, voní a chutná jim. Macháčková M.",2,cs
U prvniho kusu (objednano jinde) se projevilo extremni zahrivani plastoveho spoje nadstavcu... plast se v podstate roztekl. Dali jsme vyrobku druhou sanci... a vse jiz v naprostem poradku. Celokovovy krouhaci kotouc je daleko lepsi nez jen kovove cepele jinych vyrobku.,2,cs
"Vrtačka sama je skvělá. Jako levák mám akorát menší problém s dodávaným ""systainerem"", který nedovoluje uložit vrtačku s namontovaným madlem na druhé straně (vpravo). Zbytečně to zdržuje, ale i tak plný počet hvězd.",2,cs
"Sluchatka jsou odbre: pohodlne a skoro nesumi (vyrazne lepsi nez Philips SHC8525 jsem pouzival driv). Signal vsak nepronikne zdi co muzu vadit pri poslechu hudby (u televize, jak to pouzivame mi, je to ale jedno). Hvezdiska dolu je kvuli umisteni ovladani hlasitosti. Je to presne na takovem miste kde se to otira o pohovku (pokud si clovek opre hlavu) a kazdy pohyb memi hlasitost. Musel jsem prohodit vztupy a ted je nosim obracene (na pohodli to vsak nic nemeni; jen kontrolka je vzhuru nohama). Pokud vsak beru do uvahy jejich cenu, nemaji chybu.",1,cs
"PRO PLAN Dog Light mohu doporučit všem psům trpících nadváhou při zachování veškerých výživových hodnot. Náš pes - Border kolie je ve výborné kondici i při nižších dávkách krmení. Navíc trpí epilepsií a jsem přesvědčen, že díky kvalitě krmení PRO PLAN se nám daří eliminovat vlivy ovlivňující četnost záchvatů.",2,cs
"Vysavač je na hladké plochy dobrý, hlavně na prach. Nabíjení baterky je asi trochu problematické, baterka se po nabití ohřívá. Dochází k jejímu přebíjení a to bude mít dopad na její životnost. Při úklidu je hlučný, pokud je někdo v domácnosti trvale, je to problém. Za tu cenu a s uvedenými výhradami je to dobrý výrobek. Nefunguje mi automatické startování podle časového programu, to ale může být závada jednoho kusu, nereklamoval jsem to.",0,cs
"S plenkami jsem maximálně spokojená.Používám i jiné plenky od jiných výrobců, ale co chvíli jsou malí pročuraní. U pampersek se mi to nestává, jsou fakt super. Ideální na noc, nemusíte vůbec přebalovat.",2,cs
"CleanMate je pro mě velký pomocník. Máme malou holčičku, která všude leze. Díky vysavači jsem klidná a její ručičky jsou čisté :) . Používám ho skoro každý den. Zvládá i koberce s nízkým vlasem. Jsem s ním spokojená. Bohužel jednou nerozeznal schody .",1,cs
"Anténa předčila mé očekávání. Bydlím v oblasti, kde není signál optimální a měl jsem vždy problém přijímat TV - s přechodem na digitál se příjem ještě zhorši, docházelo k sekání obrazu, nebo zvuku. Zvláště ve večerních nebo ranních hodinách. Moc jsem této anténě nevěřil, ale zakoupil jsem si jí s tím, že když nebudu spokojen, tak ji vrátím. Anténa mne nezklamala. Dokonce jsem ji umístil pod střešní krytinu, kde se jiná anténa ani nechytala. S touto anténou mám sílu signálu pod střechou nějakých 95% a kvalita 70% (dříve jsem měl kvalitu 8 - 12%). Tak prostě doporučuji.",1,cs
"Velmi zábavná, ale i odpočinková zóna. Zpracování odpovídá dané kategorii. Pro instalaci doporučuji partnera. Po roce používání se nám začíná rozpadat ochranný límec na pružiny, který pravděpodobně není opatřen UV nátěrem. Uvažuji o reklamaci tohoto dílu. Pokud to plánujete zakoupit pro menší děti rozhodně dokupte ochranou síť!",1,cs
"S lednicí jsme celkem spokojeni. Před cestou jsem ji doma nachladila a poté potraviny vydržely dvoudenní cestu do Itálie, i přestože byla přes noc, kdy jsme spali v kempu, vypnutá. Pokud však lednice není nachlazená dopředu, samotné zapnutí v autě lednici moc nevychladí (my cestovali při teplotách kolem 35 st.).",1,cs
"Tyto ubrousky jsou opravdu výborné, dobře čistí, je to šetrné k dětské pokožce, příjemně voní a hlavně nejsou studené jak klasické vlhčené ubrousky. Navíc ošetří pokožku i mamince :-) .Mohu jen doporučit.",2,cs
"Skusil jsem změnu no tolik jim to nechutná , ale když se střída s jiným produktem tak to de také na odbyt a nemají tu stravu kočky jednotvárnou,tak že doporučuji.",1,cs
Krabička nebyla zabalena v celofánu a papírový obal byl tím pádem částečně poničen - obouchané rohy apod. Jako vánoční dárek to vypadalo trochu nevyhodně.,1,cs
"Byl jsem majitelem předchůdce TZ7 a TZ30 jej po ztrátě nahrazuje, nové vychytávky - jednodušší tvorba panoramat, série 60 snímků za vteřinu jsou výborným vylepšením. Foťák fotí výborně, malý společník na cesty.",2,cs
"Používán strojek zejména k zastřihávání vousů a jsem velmi spokojen. Ani na cestách mě nezklamal, jelikož baterie má slušnou výdrž a zajišťuje dobrý výkon.",1,cs
"Výrobek jsem nechutnal, ale našemu pejskovi a jeho kamarádům chutná. Protože toto krmivo užíváme krátce, tak nemohu hodnotit jeho reálný vliv na zdraví našeho bišonka. Proto dávám jen pět hvězdiček. Dle veterináře by se mělo jednat o vysoce kvalitní krmivo s dobrým zdravotním vlivem.",1,cs
"S kočárem jsem spokojena, líbí se mi, že je lehký, takže do MHD můžu nastupovat i bez pomoci. Košík je tak akorát na pláštěnku a pití, takže žádné velké nákupy. Doporučuji především na cesty po městě, nerovný terén zvládá trochu hůře.",1,cs
"Výborný pomocník, jednoduchá obsluha, plus je pevná poloha víčka během mletí. Menší problém vidím v tom, že umletá káva zůstává na víčku a přes veškerou snahu se něco ven vysype. Doporučuji ke koupi.",1,cs
"S tímto výrobkem nejsem spokojena, přijde mi o mnohem výkonější a celkově lepší předešlý typ strojku, který je i levnější. Na tomto strojku mi nevyhovuje materiál z kterého je vyroben, chloupky jdou špatně očišťovat kartáčkem. Předešlý typ strojku lépe vytrhával chloupky...",0,cs
"S dopravou stanu žádné problémy (dalík se stanem nebyl nijak poškozen a byl dodám velmi rychle). Ve stanu je příjemné teplo i za chladných nocí, během 4hodinové bouřky se konstrukce stanu téměř ani nepohnula, rovněž odolnost vůči prudkým dešťům výborná. Doporučuji",2,cs
Výrobek pracuje k plné spokojenosti.Je výkonný s minimální hlučností. Ovládání jednoduché. Čištění a uskadnění bez problémů. Návod k použitía údržbějasný a přehledný. Doporučuji i ostatním zájemcům Bohuslav Karban Aš,2,cs
"S koloběžkou jsme maximálně spokojeni, je designově i zpracováním moc pěkná a naše malá už využívá teplé jaro a lítá na ni, jakoby ji měla odjakživa. Jelikož uveze max. 100 kg, vyzkoušela si její jízdní vlastnosti celá naše rodinka.",2,cs
"Výborná pochoutka pro naše stafbulíky. Oproti vepřovým uším daleko déle vydrží, nedrobí, nemastí. Hafáci je milují. Vydrží jim opravdu dlouho. Ouška jsou různě velká, ale zas tak velké rozdíly mezi nimi nejsou. Objednám jim je příště zas!",2,cs
"Tímto depilátorem je depilace téměř bezbolestná. Na druhou stranu mi přijde, že přes krátký chloupek musím přejet tak třikrát než ho vytrhne a musím více přitlačit. Jinak jsem spokojená.",1,cs
"věšák je ok.. ""ukotvení do hlíny"" je ale slabota, plastovou patku jsem zalil betonem (forma - 5l kyblík), tuto těžší patku poté ""potopil"" do trávníku...zase nemůžu chtít vše, za relativně pár peněz :-))",1,cs
